"","province","avg.price","avg.score"
"1","America",19.8947368421053,86.5052631578947
"2","Arizona",29.2,84.9268292682927
"3","California",39.0410480833149,88.6277760918145
"4","Colorado",32.9852941176471,86.1176470588235
"5","Connecticut",15.3333333333333,84
"6","Hawaii",28,87
"7","Idaho",20.7684210526316,86.5989583333333
"8","Illinois",32.3333333333333,84.5
"9","Iowa",15.5,83
"10","Kentucky",35,83
"11","Massachusetts",21.2857142857143,84.8571428571429
"12","Michigan",32.4324324324324,86.1052631578947
"13","Missouri",17.3333333333333,83.3333333333333
"14","Nevada",37.75,84.25
"15","New Jersey",25.5,84
"16","New Mexico",22.4222222222222,83.9555555555555
"17","New York",22.8262331838565,87.1785714285714
"18","North Carolina",21,84.5652173913043
"19","Ohio",13.75,84.0833333333333
"20","Oregon",36.5450643776824,89.0519262981575
"21","Pennsylvania",23.3333333333333,84.5555555555556
"22","Rhode Island",25,90
"23","Texas",25.6021505376344,85.2127659574468
"24","Vermont",31.6666666666667,84.3333333333333
"25","Virginia",27.012987012987,85.6113256113256
"26","Washington",32.4364441337528,88.947216112976
"27","Washington-Oregon",17.8571428571429,88.4285714285714
