id,province,avg_price,avg_score,Latitude,Longitude
1,Arizona,29.2,84.92682927,34.1682185,-111.930907
2,California,39.04104808,88.62777609,37.2718745,-119.2704153
3,Colorado,32.98529412,86.11764706,38.9979339,-105.550567
4,Connecticut,15.33333333,84,41.5187835,-72.757507
5,Hawaii,28,87,20.46,-157.505
6,Idaho,20.76842105,86.59895833,45.4945756,-114.1424303
7,Illinois,32.33333333,84.5,39.739318,-89.504139
8,Iowa,15.5,83,41.9383166,-93.389798
9,Kentucky,35,83,37.8222935,-85.7682399
10,Massachusetts,21.28571429,84.85714286,42.0629398,-71.718067
11,Michigan,32.43243243,86.10526316,44.9435598,-86.4158049
12,Missouri,17.33333333,83.33333333,38.3046615,-92.437099
13,Nevada,37.75,84.25,38.502032,-117.0230604
14,New Jersey,25.5,84,40.1430058,-74.7311156
15,New Mexico,22.42222222,83.95555556,34.1662325,-106.0260685
16,New York,22.82623318,87.17857143,40.7056258,-73.97968
17,North Carolina,21,84.56521739,35.2145629,-79.8912675
18,Ohio,13.75,84.08333333,40.1903624,-82.6692525
19,Oregon,36.54506438,89.0519263,44.1419049,-120.5380993
20,Pennsylvania,23.33333333,84.55555556,40.9945928,-77.6046984
21,Rhode Island,25,90,41.5827282,-71.5064508
22,Texas,25.60215054,85.21276596,31.1693363,-100.0768425
23,Vermont,31.66666667,84.33333333,43.8717545,-72.4477828
24,Virginia,27.01298701,85.61132561,38.0033855,-79.4587861
25,Washington,32.43644413,88.94721611,38.8993487,-77.0145665
